r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
36,240,120,36240120,verde,green,  _ _ _   ____  __,green,hellgr _n,light green,vert emeraude,emerald green,     _,green,verde chiaro,green,         ,green,   ,green,fluorescent sea foam green,lime,mittens green,143.67,434.52
36,248,229,36248229,turquesa claro,light turquoise,_ _    __ ____  __,turquoise,t _rkis,turquoise,id7 ciel,blue sky,     _  _   ,turquoise blue,blu,blue, __   ,blue,  _            ,bright blue,light neon blue,aqua,onefinemint,69.19,322.59
37,105,248,37105248,azul,blue,  _ ______-_____   _ ____,dark blue,tiefseeblau,deep sea blue,id7,blue,     _,blue,azzurro,blue,      ,blue,   ,blue,cornflower blue,blue,vibrant blue,169.57,142.27
37,114,226,37114226,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,     _,blue,shade lighter blue,blue,deep blue sky,161.7,171.92
37,125,133,37125133,celeste,celestial,  _ ______-  _ ___ __,dark blue,dunkel t _rkies,dark turquoise,id7,blue,        _,army green,verde acqua scuro,blue, __      ,turquoise,     _   ,blue haze,turquoise blue,teal,blue green,226.2,269.72
37,145,133,37145133,celeste,celeste,_ _ _   __  __,green,gr _n,green,vert,green,   ,green,viola,green, __      ,turquoise,      ,blue green,turquoise green,green,greenish blue,208.29,303.5
37,150,160,37150160,turquesa,turquoise,    ______-_____   _ ____,dark blue,stahlblau,steel blue,turquoise,turquoise,     _,blue,grigio verde,teal,    _ ,blue,      ,blue green,pretty shade of blue,blue,blue green,194.98,270.05
37,168,166,37168166,verde azul opaco,opaque blue green,_____   _ ____,azure,t _rkis,turquoise,id7,blue,        _,army green,azzurro scuro,blue, __   ,blue,   ,blue,light green gray,blue,ocean blue,171.55,273.83
37,175,161,37175161,verde azulado,teal,  _ ___ -_ _ _   __  __,blue-green,weiches t _rkis,soft turquoise,lightseagreen,lightseagreen,         ,bright sea green,azzurro,green, __  _   ,blue-green,     _        _        _  _,light sea green,aged turquoise blue,aqua,gem turquoise,175.72,285.34
37,182,122,37182122,verde agua,green water,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde caraibi,green,  _   ,green,   ,green,medium teal green,green,persian green,193.35,339.44
37,198,130,37198130,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _ _ ,green,smeraldo,seaweed green,  _   ,green,     _        _  _,sea green,soft summer green,aqua,spring green,172.53,349.65
38,116,102,38116102,azul marino,navy blue,_ _    __ ____  __,turquoise,blaugr _n,blue green,verde,verde,     _,green,verde scuro,dark green,  _   ,green,        _,green,slate turquois green,teal,going green,246.41,295.27
38,117,116,38117116,verde,green,  _ ___ -_ _ _ _ __  __,blue-green,sehr dunkles t _rkis,very dark turquoise,id7 turquoise,turquoise,     _,green,verde pino,green,        _   ,dark green,      ,blue green,dark turquoise,teal,bluish green,225.13,278.77
38,133,141,38133141,turquesa,turquoise,  _ ___ __,blue,dunkel t _rkies,dark turquoise,id7,blue,     _,blue,secca,navy blue,    _ ,sky,      ,blue green,blue/green foam,teal,flat blue,211.65,276.13
38,139,133,38139133,cerceta,teal,  _ ______-_ _    __ ____  __,dark cyan,gr _nblau,green blue,id7,blue,      ,green,blu,blue, __      ,turquoise,      ,blue green,faded turquoise,teal,desert blue,209.98,292.54
38,175,203,38175203,azul,blue,_ _    __ ____  __,turquoise,blau,blue,id7,blue, __   ,ultramarine,blu reale,royal blue,    _ ,blue,     _,light blue,mediteranean blue,blue,eggshell blue,148.84,246.89
38,175,223,38175223,azul calro,this is understandable blue,_____   _ ____,azure,blau,blue,id7,blue,        _,light blue,azzurro,blue,    _    ,blue,   ,blue,bright turquoise,blue,bright blue,138.28,227.45
38,195,219,38195219,azul,blue,_ _    __ ____  __,turquoise,hellblau,light blue,id7 ciel,blue sky,     _,blue,celeste,heavenly,      ,blue,     _,light blue,neon turquoise,blue,daylight blue,135.8,248.92
38,207,169,38207169,verde esmeralda,emerald green,  ___   _ __ _ _ _ _ __  __,light green,minze,mint,turquoise clair,light turquoise,        _,aquamarine,azzurro,green,  _   ,green,        _,green,caribbean green,aqua,sea green,139.67,319.08
38,208,178,38208178,verde esmeralda,emerald green,_ _    __ ____  __,turquoise,t _rkis,turquoise,aigue-marine,aquamarine,     _,blue,nero,green,            _   ,dark aqua,                 _           _  _,dull light green,medium peacock blue,aqua,seaside blue,128.93,309.25
38,212,199,38212199,aguamarina,aquamarine,_ _    __ ____  __,turquoise,t _rkis,turquoise,id7,blue,     _,blue,blu,blue,    _    _   ,blue,     _,light blue,neon turquoise,aqua,seaside blue,121.77,299.57
39,121,217,39121217,azul,blue,  _ ___ __,blue,mattes blau,matt blue,id7,blue,     _,blue,blu,blue,    _ ,blue,     _,blue,better blueberry blue,blue,flirty blue,167.76,173.89
39,142,133,39142133,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,        _,blue-green,verde acqua scuro,blue-green,  _   ,green, _          ,dark blue-green,deep turquoise,teal,dull green,206.39,297.51
39,144,152,39144152,azul,blue,____    _ _    _____ ___ ,sea       wave,t _rkis,turquoise,id7 grisate,blue grisate,        _,deep blue,blu,blue,         ,blue,   ,blue,turquoise blue,teal,greenish blue,186.77,270.32
39,174,185,39174185,azul fashion,blue fashion,_____   _ ____,blue,hellt _rkis,bright turquoise,id7,blue,   ,blue,celeste,heavenly,    _ ,blue,     _,light blue,dark turquoise,teal,marine blue,159.75,261.25
39,185,177,39185177,azul agua,blue water,_____   _ ____,azure,t _rkis,turquoise,turquoise,turquoise, _         _,lake green,azzurro,blue sky, __   ,blue,   ,blue,dark mint green,teal,turquoise blue,159.66,287.94
39,197,248,39197248,azul,blue,___ _ __,sky,himmelblau,sky-blue,id7,blue, _      _,sky blue,j,blue,      ,blue,        _     _     _        _,deep blue sky,bright sky blue,sky,bright blue,104.7,186.32
39,207,143,39207143,verde,green,_ _    __ ____  __,turquoise,gr _n,green,vert,green,         ,seaweed green,blu,bright blue-green,         ,green,   ,green,baby rattle green,teal,seafoam green,152.59,350.25
39,227,246,39227246,turqueza,turquoise,  ___   _ __ _____   _ ____,light blue,himmelblau,sky-blue,id7 ciel,blue sky, _         _,fluorescent blue,lkjljkj _l,light blue,    _    ,sky blue,              _        _,cerulean blue,bright turqouise,sky,deep sky blue,85.34,242.21
40,113,134,40113134,azul sulf  n,blue sulf  n,  _ ___ __,blue,stahlt _rkis,steel turquoise,id7,blue,        _,ingot blue,celeste scuro,blue, _  _      __      ,grayish blue-green,      ,blue,dark blue shade,blue,aqua blue,225.26,256.91
40,126,240,40126240,color azul claro,light blue,_____   _ ____,azure,blau,blue,id7,blue,     _,blue,blu cobalto brillante,brilliant cobalt blue,    _    ,blue, _            _,dark blue,bright sky blue,blue,pacific blue,146.14,148.96
40,160,168,40160168,azul mar,blue sea,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue, __      ,turquoise,     _,light blue,turquoise blue,blue,patriot blue,175.16,261.6
40,163,100,40163100,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,        _,dark green,verde,green,         ,green,   ,green,dull dark green,green,bean sprout,216.46,352.91
40,166,145,40166145,azul verde,blue green,____    _ _    _____ ___ ,sea       wave,t _rkis,turquoise,id7 vert pass  ,blue green past,     _  _     _,turquoise green,acquamarina,aquamarine,  _   ,green,      ,blue green,caribbean blue,teal,ocean dream,180.72,290.24
40,166,145,40166145,azul verde,blue green,____    _ _    _____ ___ ,sea       wave,t _rkis,turquoise,id7 vert pass  ,blue green past,     _  _     _,turquoise green,acquamarina,aquamarine,  _   ,green,      ,blue green,lacquered teal,teal,ocean dream,178.62,312.76
40,171,116,40171116,verde oscuro,dark green,____    _ _    _____ ___ ,sea       wave,gr _n,green,vert,green,        _,dark green,verde,green,  _   ,green,   ,green,light shamrock green,teal,mint green,205.54,338.96
40,230,175,40230175,verde,green,  ___   _ __-_ _ _ _ __  __,light green,t _rkis,turquoise,turquoise,turquoise,     _,green,blu,blue,         _   ,bright green,     _,light blue,bright crayon green,teal,medium green,116.9,352.34
40,253,147,40253147,verde,green,  ___   _ __-  _ _ _   ____  __,light-green,meeresgr _n,sea       green,vert,green,   ,green,verde,green,         _   ,bright green,   ,green,bright yellow-green,green,medium green,118.13,442.55
41,104,169,41104169,azul,blue,  _ ______-  _ ___ __,dark blue,koboldblau,goblin blue,id7,blue,   ,blue,blu,blue,    _ ,blue,   ,blue,light royal bue,blue,royal blue,201.79,209.78
41,135,202,41135202,azul claro,blue,_ _ _     ____-  _ ___ __,sky-blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,      ,blue,light ocean blue,blue,computer blue,169.44,210.31
41,140,224,41140224,azul,blue,_____   _ ____,blue,hellblau,light blue,la lumi  re id7e,blue light,     _,blue,blu,blue,    _ ,blue,        _,blue sky color,cornflower blue,blue,bright blue,154.33,188.1
41,151,107,41151107,verde,green,_ _ _   __  __,green,waldgr _n,forest green,vert,green,     _,green,verde scuro,dark green,         ,green,   ,green,lush grass green,green,medium green,213.32,315.15
41,180,104,41180104,verde,green,  _ ______-_ _ _ _ __  __,dark green,mattdunkelgr _n,matt dark green,vert,green,     _,green,verde palle,green balls,  _   ,green,   ,green,aqua seaweed green,green,persian green,204.19,356.98
41,190,254,41190254,celeste chillante,shrieking blue,_____   _ ____,azure,leuchtendes hellblau,shining light blue,id7 ciel,blue sky,     _,blue,blu,blue,    _ ,sky,   ,blue,light turqouise,blue,light blue,131.08,154.37
41,191,144,41191144,aguamarina,aquamarine,_ _ _ _ _______     __,greenish,gr _n,green,vert,green,     _,green,verde smeraldo,green,         ,green,        _,green,aquamarine green,teal,spring green,161.05,327.48
41,226,196,41226196,azul turquesa,turquoise,_ _    __ ____  __,turquoise,aquamarin,aquamarine,turquoise,turquoise,     _  _,turquoise,acquamarina,aquamarine,    _    ,sky blue,   ,water,bright baby blue,sky,seafoam green,101.05,308.6
41,228,190,41228190,aguamarina,aquamarine,_ _    __ ____  __,turquoise,t _rkisblau,turquoise blue,id7 turquoise,turquoise,     _,green,verde,green,  _   ,green,   ,green,carribean ocean,teal,bright blue,109.39,352.97
41,253,166,41253166,verde,green,_ _ _ _ ____-_ _ _ _ __  __,pale green,mint,mint,id7 vert ocean,blue-green ocean,     _,green,verdino,light green,             ,bright turquoise,     _        _  _,sea green,neon light green,green,medium green,99.44,416.26
41,255,218,41255218,azul neon,blue neon,_ _ ___ ___   _ __,aquamarine,t _rkis,turquoise,vert,green,     _,blue,azzurro,blue,    _    ,sky blue,   ,blue,teal eucalyptus,aqua,light teal,73.84,350.99
42,214,234,42214234,azule claro,clear blue,_____   _ ____,azure,hellblau,light blue,id7 clair,light blue,   ,blue,blu,blue, __   ,blue,     _,light blue,light turquoise,blue,deep sky blue,110.81,249.91
42,244,170,42244170,verde,green,_ _ _   __  __,green,mint,mint,aquamarine,aquamarine,    _  _      _,spring green,verde acqua,green,         ,green,                       _  _,emerald green,bright seafoam,aqua,seafoam green,107.63,395.33
42,250,160,42250160,turquesa claro,light turquoise,  _ _ _   ____  __,green,aqua,aqua,vert clair,light green:,     _,green,verde,green,     _   ,pale green,  _            ,jade,bright pistachio green,green,medium green,110.4,415.53
43,138,199,43138199,azul,blue,_ _ ___ __,blue,mittelblau,medium blue,id7,blue,     _,blue,blu,blue,    _    ,blue,   ,blue,princess diana blue,blue,computer blue,173.23,226.05
43,151,154,43151154,aguamarina,aquamarine,____    _ _    _____ ___ ,sea       wave,emeraldgr _n,emerald green,id7,blue,     _,blue,blu,blue,    _ ,blue,     _,light blue,turquoise blue,teal,blue green,192.22,276.53
43,190,108,43190108,verde,green,_ _ _   __  __,green,gr _n,green,vert fonc  ,dark green,   ,green,j,pale green, __      ,turquoise,        _,green,bright turqouise,green,forest green,199.28,375.57
43,197,150,43197150,turquesa,turquoise,_ _ _   __  __,green,gr _n,green,vert,green,     _,green,verde,dark turquoise, __      ,turquoise,     _           _,light blue,eggshell green,teal,spring green,157.11,339.18
43,216,101,43216101,verde,green,  ___   _ __-_ _ _   __  __,light green,gr _n,green,vert,green,        _,grass green,ierba,green leaves,  _   ,green,                    _     _      ,just a little bit of a little green companion,new lawn green,green,seafoam green,179.97,407.77
43,234,196,43234196,verde,green,_ _    __ ____  __,turquoise,t _rkis,turquoise,aigue-marine,aquamarine,     _,green,verdemarina,verdemarina,      ,turquoise,      ,blue green,bright sky blue,blue,light blue,108.39,345.66
43,246,155,43246155,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,"<condition percentage = ""0000""> green </condition>",     _,green,verde marino,bright green,        _   ,bright green,         ,pale green,bright green turquoise,aqua,seafoam green,119.65,400.02
43,247,202,43247202,verde acua claro,aqua green light,    _ __-  _ _ _   ____  __,bright green,t _rkis,turquoise,id7 turquoise,turquoise,     _,blue,verde chiarissimo,pale green,    _    ,sky blue,     _           _  _,mint green,greenish turquoise,aqua,seafoam green,89.37,363.22
44,115,115,44115115,azul petroleo,oil blue,_ _ _ _ __  __,green,gr _n,green,id7 canard,blue duck,     _,blue,verde,green, __      ,turquoise,                    _        _  _,medium sea green,dark sick green,blue green,blue green,247.92,276.08
44,126,160,44126160,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue,       _      _    ,dark sky blue,   ,blue,dull blazin' blue,blue,greyish blue,194.63,231.32
44,157,145,44157145,verde,green,_ _ _ _ __  __-_ _    __ ____  __,pale turquoise,blaugr _n,blue-green,id7-vert,blue-green, _         _,peacock green,nero,blue, __   ,blue,  _     _        _,marine blue,dark seafoam green,blue green,blue-green,192.63,295.6
44,179,104,44179104,verde claro,light green,_ _ _ _ __  __,green,gr _n,green,cyan,cyan,        _,dark green,verde,green,         ,green,   ,green,new leaf green,green,forest green,216.45,360.02
44,208,205,44208205,azul bondi,bondi blue,_____   _ ____,azure,t _rkis,turquoise,turquoise,turquoise,     _,blue,blu,blue,    _    ,blue,      ,blue green,bright turqoise,teal,neon sky blue,143.44,280.62
44,232,217,44232217,turqueza,turquoise,_____   _ ____,blue,hellblau,light blue,turquoise,turquoise,        _,light blue,celeste,green,      ,turquoise,     _,light blue,turqouise blue,blue,light blue,95.13,293.69
45,145,244,45145244,azul,blue,_____   _ ____,azure,blau,blue,id7,blue,     _,blue,azzurro,blue,      ,blue,   ,blue,turquoise blue,blue,bright blue,132.89,167.09
45,163,232,45163232,celeste,celestial,_ ___    _ _   _ _  _ _____ _ ,bondi beach water,himmelblau,sky blue,id7,blue,     _,blue,blu dodger,blue,    _ ,blue,      ,blue,bright boy blue,blue,dark sky blue,133.3,193.92
45,166,194,45166194,azul,blue,  _   __-_____   _ ____,gray-blue,stahlblau,steel blue,id7,blue,     _,blue,azzuro,blue,    _    ,sky blue,     _        _,dark blue,butterfly blue,blue,blue green,168.29,239.85
45,207,221,45207221,turqueza,turquoise,_____   _ ____,azure,hellblau,light blue,id7 ciel,blue sky,        _,aqua blue,blu,blue,           _ ,blue fluorescence,     _      ,light blue,light true blue,blue,dark sky blue,127.11,261.28
45,209,135,45209135,verde,green,  ___   _ __-_ _ _   __  __,light green,lindgr _n,lime green,vert claire,light green:,        _,light green,verde,green,  _   ,green,   ,green,soothing green,green,seafoam green,160.07,364.62
45,218,123,45218123,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,   ,green,sedano,green,  _   ,green,        _,green,murky water green,green,santa fe teal,171.52,396.38
45,219,115,45219115,verde pasto,green grass,_ _ _ _ ____-_ _ _ _ __  __,pale green,gr _n,green,vert pastel fonc  ,dark pastel green,     _,green,verde,green,  _   ,green,   ,green,shamrock green,green,santa fe teal,167.08,404.42
45,223,243,45223243,azul marino claro,clear blue,_____   _ ____,azure,blau,blue,id7 fluo,blue fluorescent,  _    _      _,bright blue,azzuro,blue,    _    ,sky blue,     _,light blue,iced baby blue,aqua,deep sky blue,90.55,237.73
45,246,212,45246212,azul nube,blue cloud,_ ___   _ ____,blue,t _rkis,turquoise,id7,blue,        _,aqua blue,azzurro,aquamarine, __   ,blue,        _,cyan,bright turquoise,aqua,electric blue,86.21,349.56
46,107,241,46107241,azul brillante,bright blue,  _ ___ __,blue,blau,blue,id7 ciel fin journ  e,blue end of day,            ,highly concentrated sea-blue,blu,blue,    _ ,blue,   ,blue,beautiful bold blue,blue,deep blue sky,165.12,146.11
46,109,242,46109242,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,   ,blue,bright sky blue,blue,deep blue sky,161.21,153.26
46,124,140,46124140,azul,blue,  _   __-_____   _ ____,gray-blue,mittelblau,medium blue,id7,blue,     _      ,turkey blue,verde acqua scuro,blue,      ,navy,     _,blue,light navy blue,blue,blue,218.66,261.48
46,127,229,46127229,azul magnetizado,blue magnetized,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue, __   ,blue,              _,light blue cloudy,sunny sky blue,blue,cerulean blue,157.04,166.39
46,177,141,46177141,verde mojado,green wet,  _ ___ -_ _ _ _ __  __,blue-green,t _rkis,turquoise,vert,green,        _,blue-green,verde,green,  _   ,green,              _,green shoi,greenish turquoise,aqua,murky blue,169.16,316
46,179,177,46179177,azul,blue,_ _     _   ____  __,jade,dunkelt _rkis,dark turquoise,id7 vert,blue green,     _,blue,blu,blue,           _   ,bright aqua,                    _  _  _   ,medium turquoise,aqua in the shadows,blue,deep turquoise,166.21,276.93
46,217,194,46217194,azul cielo,blue sky,_ _    __ ____  __,turquoise,hell t _rkis,bright turquoise,id7,blue,        _,blue-green,ciano,cyan,  _       _    ,dilute blue,                       _  _,emerald green,swimming pool blue,teal,teal green,120.04,306.26
46,218,236,46218236,azul de agua,blue water,_____   _ ____,azure,t _rkis,turquoise,id7,blue,     _,blue,azzurro,blue,    _ ,blue,     _,light blue,bright sky blue,blue,bright aqua,103.01,238.84
46,219,151,46219151,verde agua,green water,_ _ _ _ __  __,green,t _rkis,turquoise,vert turquoise,turquoise,        _,aquamarine,verde,green,  _   ,green,           _     _  _,aquamarine,light minty teal,teal,santa fe teal,142.07,363.68
46,226,237,46226237,turqueza,turquoise,_____   _ ____,azure,signalt _rkis,signal-turquoise,blue marin,blue sea,   ,blue,azzurro,blue,    _    ,sky blue,     _,light blue,light turquoise,blue,belize blue,100.56,255.31
46,231,124,46231124,verde,green,_ _ _ _ ____ _ _ _   __  __,pale green,gr _n,green,vert,green,      ,green,h,green,  _   ,green,  _                 _  _,cobalt green,electric green,mint,bright green,151.56,409.59
46,250,145,46250145,verde brillante,bright green,  ___   _ __ _ _ _ _ __  __,light green,hellgr _n,lime,vert,green,     _,green,azzuro chiaro,green,         ,green,  _  _           _  _,pale green,peppermint green,mint,seafoam green,130.26,437.54
47,102,207,47102207,azul,blue,_ _ _     __  __,blue,mittelblau,medium blue,id7,blue,     _,blue,bluette,blue,    _    ,blue,   ,blue,cornflower blue,blue,ocean blue,180.94,173.58
47,143,176,47143176,azul aqua color fondo oceano,aqua blue ocean background color,_ _ _     __  __,blue,t _rkis,turquoise,id7,blue,     _,blue,azzuro,blue,    _ ,blue,      ,blue,beautiful blue,blue,dark sky blue,182.9,235.58
47,177,189,47177189,azul,blue,_____   _ ____,azure,blau,blue,id7,blue,     _,blue,verde,light green,    _ ,blue,     _,blue,bright green blue,blue,true turquoise,164.62,257.03
47,231,106,47231106,verde,green,_ _ _ _ __  __,green,hell gr _n,lime,vert,green,      ,light green,verde pastello scuro,green,         ,green,        _,green,perrywinkle green,mint,bright green,164.88,434.72
47,243,217,47243217,azul,blue,  ___   _ __-_ _    __ ____  __,light cyan,t _rkis,turquoise,id7 ciel,blue sky,     _,blue,azzurro evidenziatore,blue marker,    _    ,sky blue,  _     _        _,marine blue,bright turquoise,aqua,aqua marine,81.61,326.77
47,255,180,47255180,verde,green,  _ _ _   ____  __,green,t _rkis,turquoise,aigue-marine,aquamarine,     _  _   ,turquoise green,acquamarina,aquamarine,    _ ,sky,                       _  _,emerald green,robin's egg blue,aqua,seafoam green,97.49,410.12
48,170,137,48170137,turquesa,turquoise,_ _ ____  __ _ _   __    _ __  __,dark emerald,blaugr _n,blue-green,vert id7,green blue,     _,green,verde spento,green off, __      ,turquoise,      ,blue green,granny smith apple,teal,teal grean,179.14,305.31
48,189,240,48189240,azul claro,blue,___ _ _   __  __,heavenly,signalt _rkis,signal-turquoise,id7 clair,blue, _    ,azure,blu,blue,    _ ,sky,     _,light blue,livid sky blue,blue,deep sky blue,114.54,211.42
48,196,135,48196135,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,   ,green,azzuro,green, __      ,turquoise,     _  _     _           _  _,green emperor,light grass green,aqua,bluish green,173.1,344.43
48,198,214,48198214,azul claro,blue,_   _ __-_____   _ ____,bright blue,t _rkis,turquoise,id7 ciel,blue sky,     _,blue,aazzuro,blue,    _    ,sky blue,  _      ,brightness blue,electric light sky,blue,electric blue,134.41,260.7
48,219,105,48219105,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde bottiglia,green,  _   ,green,         ,pale green,new growth green,green,spiked green,173.75,426.27
48,236,187,48236187,luz verde,green light,_ _ _ _ __  __,green,gr _n,green,feu vert,green light, _          ,caribbean green,celeste,heavenly,    _    ,sky blue,                 _,the emerald,bright baby blue,cyan,bright blue,113.59,369.09
48,252,139,48252139,verde limon,lime green,  ___   _ __-_ _ _ _ __  __,light green,gr _n,green,vert c  ladon,celadon green,      ,spring green,verde soffice,soft green,  _   ,green,      ,yellow-green,bright sea green,mint,seafoam green,130.33,446.05
49,140,206,49140206,azul,blue,_____   _ ____,azure,hellblau,light blue,id7,blue,   ,blue,azzurro,blue,    _    ,sky blue,     _,light blue,periwinkle blue,aqua,phenolic blue,165.41,204.32
49,141,155,49141155,celeste fuerte,strong blue,__    _ __  __ _____   _ ____,dirty blue,stahlblau,steel blue,id7 paon,peacock blue,     _,blue,fsdsdsd,blue, __   ,blue,     _           _      ,dark bull turkey,fresh brook blue,teal,dark cerulean,204.02,264.99
49,147,141,49147141,azulado,bluish,_ _ ___ __,blue,gr _n-blau,green-blue,aigue-marine,aquamarine,        _,blue-gray,verde brillante,bright green, __   ,teal,   ,blue,lester b pearson blue,teal,blue green,201.29,290.29
49,212,166,49212166,azul coral,blue coral,  ___   _ __-_ _ _ _ __  __,light green,mintgr _n,mint green,aigue-marine,aquamarine,     _,green,verde,green,     _   ,pale green,     _        _        _  _,light sea green,light light teal,aqua,seafoam green,141.36,338.62
49,227,191,49227191,verde azul,blue green,_ _    __ ____  __,turquoise,helles t _rkies,bright turquoise,turquoise,turquoise,     _,blue,ciano,cyan,  _   ,green,   ,water,bright key lime merange pie,auqa,bright teal,121.07,332.79
49,233,141,49233141,verde,green,  ___   _ __-_ _ _ _ __  __,light green,gr _n,green,vert,green,    _  _      _,spring green,verde pastello chiaro,deep grass green,  _   ,green,   ,green,sea foam green,mint,seafoam green,140.07,404.24
49,249,169,49249169,verde,green,  _ _ _   ____  __,green,t _rkise,turquoise,feu vert,green light, _      _,color green,green acquamarina,green aquamarine,         _   ,bright green,                       _  _,emerald green,neon seafoam green,mint,seafoam green,107.3,402.86
49,250,244,49250244,azul claro,blue,_ ___   _ ____,blue,eisblau,ice-blue,id7 clair,blue,     _,blue,celeste,heavenly,    _    ,sky blue,      ,blue,bright sky blue,aqua,deep sky blue,72.73,282.31
50,124,105,50124105,verde oscuro,dark green,  _ ___ -_ _ _ _ __  __,blue-green,gr _n,green,vert gris fonc  ,green dark gray,     _,green,verde,green,  _   ,green,      ,dark green,dark teal blue,teal,blue green,230.55,308.73
50,130,102,50130102,verde petroleo,green oil,_ _ _   _____  ____  _ ,green sea,gr _n,green,proupre,proupre,     _,grass,verde-azzurro,blue-green,         ,green, _       ,dark green,alligator green,green,meadow green,224.69,313.06
50,131,110,50131110,verde feo,ugly green,____    _ _    _____ ___ ,sea       wave,dunkelgr _n,dark green,vert fonc  ,dark green:,        _,sea green,blu,green,             ,dark green,   ,green,lovebird green,teal,hunter green,210.6,309.16
50,148,224,50148224,azul claro,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,dvdvv,blue,    _    ,blue,              _           _,academy blue,little boy blue,blue,dark sky blue,148.36,189.03
50,151,122,50151122,azul petroleo,oil blue,_ _ _ _ __  __,green,gr _n,green,vert fonc  ,dark green:,     _,green-winged teal,verde,green,         ,green, _               _,unusual green,mossy forest green,green,seafoam green,206.62,314.49
50,162,154,50162154,verde,green,____    _ ____-    ______-_ _    __ ____  __,sea-deep turquoise,t _rkis,turquoise,vert glauque,sea-green,     _,blue,azzurro,green, __      ,turquoise,        _        _  _,blue green,ocean blue-green,teal,turquoise,181.68,282.9
50,185,116,50185116,verde opaco,dull green,_ _    __ ____  __,turquoise,gr _n,green,vert,green,     _,green,azzurrino,green opaque,         ,green,   ,green,fake grass green,green,blueish green,196.94,360.94
50,217,160,50217160,verde,green,_ _ _   __  __,green,gr _n,green,id7 vert mat,blue-green mat,      ,light green,verde acqua,green,        _   ,bright green,   ,green,light blue-green,mint,seafoam green,134.8,340.44
50,229,137,50229137,verde esmeralda,emerald green,  _ _ _   ____  __,green,gr _n,green,vert,"<condition percentage = ""0000""> green </condition>",     _  _     _,turquoise green,verde primavera,light khaki,         ,green,              _  _                    _  _,schweinfurt green,bright greenish blue,mint,seafoam green,144.74,397.31
50,236,180,50236180,verde campi  a,green countryside,_ _    __ ____  __,turquoise,t _rkis,turquoise,vert d'eau,green water,    _  _      _,spring green,verde,green,     _   ,aqua,   ,green,sea foam green,cyan,bright blue,114.39,358.36
50,241,151,50241151,verde,green,_ _ _ _ ____-_ _ _   __  __,pale green,helles gr _n,bright green,vert olive,olive green,     _,green,verde pastello,pastel green,  _ _ ,mint,   ,green,bright turquoise,mint,seafoam green,127.78,397.79
50,243,114,50243114,verde,green,    _ __-_ _ _ _ __  __,bright green,gr _n,green,vert,green,   ,green,verde splendente,green,         ,green,   ,green,bright sea green,mint,bright green,153.32,448.82
50,243,227,50243227,celeste,celestial,_____   _ ____,azure,mint,mint,turquoi,turquoise,     _,blue,azzurro,blue,          _ ,bright blue,     _,light blue,neon turquoise,aqua,neon sky blue,85.3,304.48
50,245,177,50245177,turquesa,turquoise,  _ _ _   ____  __,green,blaugr _n,blue-green,vert,green,        _,green,verde,green,       __   ,bright green,        _           _     _,aquamarine anion,bright turqoise,teal,seafoam green,107.66,388.46
50,245,229,50245229,turquesa,turquoise,___ _ ____-_____   _ ____,pale-blue,hellblau,light blue,id7,blue,     _,blue,celestino,celestine,           _    ,blue fluorescence,        _,cyan,rich aquamarine,aqua,neon sky blue,75.68,311.54
50,248,147,50248147,verde pastel,pastel green,_ _ _   __  __,green,hellgr _n,light green,lumi  re vert,light green,     _,green,verde,aquamarine,         ,green,        _,green,bright springtime green,mint,seafoam green,131.43,423.78
51,117,103,51117103,color verde agua oscuro,dark green water,_ _ _ _ __  __,green,blaugr _n,blue-green,vert fonc  ,dark green,    __   ,chitose green,verde,green,  _   ,green,                 _  _,much green,lake water blue,teal,tangle green,246.08,302.14
51,137,173,51137173,color azul,blue,_ ___ _ _        _ ___ __,cobalt blue,blau,blue,id7,blue,     _,blue,blu,blue,    _    ,blue,     _,azure,dull dark blue,blue,bluish green,187.84,232.16
51,155,223,51155223,azul playa,blue beach,_____   _ ____,azure,hellblau,light blue,id7,blue,     _,blue,azzurro,blue,    _ ,blue,   ,blue,old fashion blue,blue,blue morning,144.21,200.25
51,179,163,51179163,aguamarina,aquamarine,_____   _ ____,azure,gr _n,green,id7 azur,azure,      ,deep blue,azzurro,blue,  _   ,green,     _              _,pastel blue,light teal green,aqua,murky blue,162.79,292.98
